色号,已购库存_颗,最终需求_颗,扣除需求后余额_负数为缺货,缺失数量_颗,缺货必买X数_1X等于1000颗,缺货必买_颗,必买后余量_颗,低于300建议追加X数,全部采纳合计X数,建议购买合计_颗,建议购买后余量_颗,购买分类,说明
C1,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
C2,1000,1589,-589,589,1X,1000,411,0X,1X,1000,411,缺货必买,
C3,1000,2524,-1524,1524,2X,2000,476,0X,2X,2000,476,缺货必买,
C4,1000,677,323,0,0X,0,323,0X,0X,0,323,无需购买,
C5,1000,250,750,0,0X,0,750,0X,0X,0,750,无需购买,
C6,1000,2292,-1292,1292,2X,2000,708,0X,2X,2000,708,缺货必买,
C7,1000,3620,-2620,2620,3X,3000,380,0X,3X,3000,380,缺货必买,
C8,1000,848,152,0,0X,0,152,1X,1X,1000,1152,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
C9,1000,485,515,0,0X,0,515,0X,0X,0,515,无需购买,
C10,1000,420,580,0,0X,0,580,0X,0X,0,580,无需购买,
C11,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
C12,1000,834,166,0,0X,0,166,1X,1X,1000,1166,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
C13,1000,1013,-13,13,1X,1000,987,0X,1X,1000,987,缺货必买,
C14,1000,615,385,0,0X,0,385,0X,0X,0,385,无需购买,
C15,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
C16,1000,3491,-2491,2491,3X,3000,509,0X,3X,3000,509,缺货必买,
C17,1000,64,936,0,0X,0,936,0X,0X,0,936,无需购买,
C18,1000,646,354,0,0X,0,354,0X,0X,0,354,无需购买,
C19,1000,286,714,0,0X,0,714,0X,0X,0,714,无需购买,
C20,1000,989,11,0,0X,0,11,1X,1X,1000,1011,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
C21,1000,379,621,0,0X,0,621,0X,0X,0,621,无需购买,
C22,1000,324,676,0,0X,0,676,0X,0X,0,676,无需购买,
C23,1000,633,367,0,0X,0,367,0X,0X,0,367,无需购买,
C24,1000,2044,-1044,1044,2X,2000,956,0X,2X,2000,956,缺货必买,
C25,1000,40,960,0,0X,0,960,0X,0X,0,960,无需购买,
C26,1000,78,922,0,0X,0,922,0X,0X,0,922,无需购买,
C27,1000,834,166,0,0X,0,166,1X,1X,1000,1166,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
C28,1000,938,62,0,0X,0,62,1X,1X,1000,1062,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
C29,1000,353,647,0,0X,0,647,0X,0X,0,647,无需购买,
D1,1000,1358,-358,358,1X,1000,642,0X,1X,1000,642,缺货必买,
D2,1000,1289,-289,289,1X,1000,711,0X,1X,1000,711,缺货必买,
D3,2000,178,1822,0,0X,0,1822,0X,0X,0,1822,无需购买,
D4,1000,2038,-1038,1038,2X,2000,962,0X,2X,2000,962,缺货必买,
D5,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
D6,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
D7,1000,76,924,0,0X,0,924,0X,0X,0,924,无需购买,
D8,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
D9,1000,27,973,0,0X,0,973,0X,0X,0,973,无需购买,
D10,1000,1040,-40,40,1X,1000,960,0X,1X,1000,960,缺货必买,
D11,1000,684,316,0,0X,0,316,0X,0X,0,316,无需购买,
D12,1000,39,961,0,0X,0,961,0X,0X,0,961,无需购买,
D13,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
D14,1000,29,971,0,0X,0,971,0X,0X,0,971,无需购买,
D15,1000,88,912,0,0X,0,912,0X,0X,0,912,无需购买,
D16,1000,58,942,0,0X,0,942,0X,0X,0,942,无需购买,
D17,1000,715,285,0,0X,0,285,1X,1X,1000,1285,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
D18,1000,29,971,0,0X,0,971,0X,0X,0,971,无需购买,
D19,1000,365,635,0,0X,0,635,0X,0X,0,635,无需购买,
D20,1000,44,956,0,0X,0,956,0X,0X,0,956,无需购买,
D21,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
D22,1000,278,722,0,0X,0,722,0X,0X,0,722,无需购买,
D23,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
D24,1000,788,212,0,0X,0,212,1X,1X,1000,1212,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
D25,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
D26,1000,1,999,0,0X,0,999,0X,0X,0,999,无需购买,
E1,1000,14,986,0,0X,0,986,0X,0X,0,986,无需购买,
E2,2000,3944,-1944,1944,2X,2000,56,1X,3X,3000,1056,缺货必买+低库存补购,补齐缺口后余量少于300，建议额外补购1k
E3,1000,979,21,0,0X,0,21,1X,1X,1000,1021,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
E4,1000,243,757,0,0X,0,757,0X,0X,0,757,无需购买,
E5,1000,638,362,0,0X,0,362,0X,0X,0,362,无需购买,
E6,1000,172,828,0,0X,0,828,0X,0X,0,828,无需购买,
E7,1000,92,908,0,0X,0,908,0X,0X,0,908,无需购买,
E8,1000,430,570,0,0X,0,570,0X,0X,0,570,无需购买,
E9,1000,235,765,0,0X,0,765,0X,0X,0,765,无需购买,
E10,1000,175,825,0,0X,0,825,0X,0X,0,825,无需购买,
E11,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
E12,1000,273,727,0,0X,0,727,0X,0X,0,727,无需购买,
E13,1000,64,936,0,0X,0,936,0X,0X,0,936,无需购买,
E14,1000,304,696,0,0X,0,696,0X,0X,0,696,无需购买,
E15,1000,155,845,0,0X,0,845,0X,0X,0,845,无需购买,
E16,1000,443,557,0,0X,0,557,0X,0X,0,557,无需购买,
E17,1000,176,824,0,0X,0,824,0X,0X,0,824,无需购买,
E18,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
E19,1000,713,287,0,0X,0,287,1X,1X,1000,1287,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
E20,1000,25,975,0,0X,0,975,0X,0X,0,975,无需购买,
E21,1000,20,980,0,0X,0,980,0X,0X,0,980,无需购买,
E22,1000,105,895,0,0X,0,895,0X,0X,0,895,无需购买,
E23,1000,31,969,0,0X,0,969,0X,0X,0,969,无需购买,
E24,1000,180,820,0,0X,0,820,0X,0X,0,820,无需购买,
F1,1000,16,984,0,0X,0,984,0X,0X,0,984,无需购买,
F2,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
F3,1000,443,557,0,0X,0,557,0X,0X,0,557,无需购买,
F4,1000,484,516,0,0X,0,516,0X,0X,0,516,无需购买,
F5,1000,825,175,0,0X,0,175,1X,1X,1000,1175,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
F6,1000,177,823,0,0X,0,823,0X,0X,0,823,无需购买,
F7,1000,397,603,0,0X,0,603,0X,0X,0,603,无需购买,
F8,2000,433,1567,0,0X,0,1567,0X,0X,0,1567,无需购买,
F9,1000,324,676,0,0X,0,676,0X,0X,0,676,无需购买,
F10,1000,448,552,0,0X,0,552,0X,0X,0,552,无需购买,
F11,1000,1363,-363,363,1X,1000,637,0X,1X,1000,637,缺货必买,
F12,1000,134,866,0,0X,0,866,0X,0X,0,866,无需购买,
F13,1000,54,946,0,0X,0,946,0X,0X,0,946,无需购买,
F14,1000,723,277,0,0X,0,277,1X,1X,1000,1277,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
F15,3000,186,2814,0,0X,0,2814,0X,0X,0,2814,无需购买,
F16,1000,56,944,0,0X,0,944,0X,0X,0,944,无需购买,
F17,1000,75,925,0,0X,0,925,0X,0X,0,925,无需购买,
F18,1000,489,511,0,0X,0,511,0X,0X,0,511,无需购买,
F19,1000,25,975,0,0X,0,975,0X,0X,0,975,无需购买,
F20,1000,69,931,0,0X,0,931,0X,0X,0,931,无需购买,
F21,1000,89,911,0,0X,0,911,0X,0X,0,911,无需购买,
F22,1000,377,623,0,0X,0,623,0X,0X,0,623,无需购买,
F23,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
F24,1000,31,969,0,0X,0,969,0X,0X,0,969,无需购买,
F25,1000,26,974,0,0X,0,974,0X,0X,0,974,无需购买,
G1,1000,539,461,0,0X,0,461,0X,0X,0,461,无需购买,
G2,1000,30,970,0,0X,0,970,0X,0X,0,970,无需购买,
G3,1000,200,800,0,0X,0,800,0X,0X,0,800,无需购买,
G4,1000,662,338,0,0X,0,338,0X,0X,0,338,无需购买,
G5,1000,579,421,0,0X,0,421,0X,0X,0,421,无需购买,
G6,1000,1218,-218,218,1X,1000,782,0X,1X,1000,782,缺货必买,
G7,2000,1157,843,0,0X,0,843,0X,0X,0,843,无需购买,
G8,1000,1374,-374,374,1X,1000,626,0X,1X,1000,626,缺货必买,
G9,1000,837,163,0,0X,0,163,1X,1X,1000,1163,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
G10,1000,1209,-209,209,1X,1000,791,0X,1X,1000,791,缺货必买,
G11,1000,1006,-6,6,1X,1000,994,0X,1X,1000,994,缺货必买,
G12,1000,799,201,0,0X,0,201,1X,1X,1000,1201,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
G13,1000,987,13,0,0X,0,13,1X,1X,1000,1013,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
G14,1000,316,684,0,0X,0,684,0X,0X,0,684,无需购买,
G15,1000,178,822,0,0X,0,822,0X,0X,0,822,无需购买,
G16,1000,215,785,0,0X,0,785,0X,0X,0,785,无需购买,
G17,1000,664,336,0,0X,0,336,0X,0X,0,336,无需购买,
G18,2000,886,1114,0,0X,0,1114,0X,0X,0,1114,无需购买,
G19,1000,1136,-136,136,1X,1000,864,0X,1X,1000,864,缺货必买,
G20,1000,1176,-176,176,1X,1000,824,0X,1X,1000,824,缺货必买,
G21,1000,388,612,0,0X,0,612,0X,0X,0,612,无需购买,
H1,1000,742,258,0,0X,0,258,1X,1X,1000,1258,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
H2,6000,10158,-4158,4158,5X,5000,842,0X,5X,5000,842,缺货必买,
H3,1000,385,615,0,0X,0,615,0X,0X,0,615,无需购买,
H4,1000,217,783,0,0X,0,783,0X,0X,0,783,无需购买,
H5,1000,569,431,0,0X,0,431,0X,0X,0,431,无需购买,
H6,1000,1296,-296,296,1X,1000,704,0X,1X,1000,704,缺货必买,
H7,6000,8482,-2482,2482,3X,3000,518,0X,3X,3000,518,缺货必买,
H8,1000,1,999,0,0X,0,999,0X,0X,0,999,无需购买,
H9,2000,463,1537,0,0X,0,1537,0X,0X,0,1537,无需购买,
H10,1000,5,995,0,0X,0,995,0X,0X,0,995,无需购买,
H11,1000,954,46,0,0X,0,46,1X,1X,1000,1046,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
H12,1000,1062,-62,62,1X,1000,938,0X,1X,1000,938,缺货必买,
H13,1000,135,865,0,0X,0,865,0X,0X,0,865,无需购买,
H14,1000,147,853,0,0X,0,853,0X,0X,0,853,无需购买,
H15,1000,335,665,0,0X,0,665,0X,0X,0,665,无需购买,
H16,3000,1686,1314,0,0X,0,1314,0X,0X,0,1314,无需购买,
H17,1000,318,682,0,0X,0,682,0X,0X,0,682,无需购买,
H18,1000,734,266,0,0X,0,266,1X,1X,1000,1266,低库存建议补购,补齐缺口后余量少于300，建议额外补购1k
H19,1000,405,595,0,0X,0,595,0X,0X,0,595,无需购买,
H20,1000,279,721,0,0X,0,721,0X,0X,0,721,无需购买,
H21,1000,639,361,0,0X,0,361,0X,0X,0,361,无需购买,
H22,1000,397,603,0,0X,0,603,0X,0X,0,603,无需购买,
H23,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
M1,1000,37,963,0,0X,0,963,0X,0X,0,963,无需购买,
M2,1000,153,847,0,0X,0,847,0X,0X,0,847,无需购买,
M3,1000,0,1000,0,0X,0,1000,0X,0X,0,1000,无需购买,本次需求未使用此色
M4,1000,173,827,0,0X,0,827,0X,0X,0,827,无需购买,
M5,1000,100,900,0,0X,0,900,0X,0X,0,900,无需购买,
M6,1000,94,906,0,0X,0,906,0X,0X,0,906,无需购买,
M7,1000,136,864,0,0X,0,864,0X,0X,0,864,无需购买,
M8,1000,38,962,0,0X,0,962,0X,0X,0,962,无需购买,
M9,1000,59,941,0,0X,0,941,0X,0X,0,941,无需购买,
M10,1000,65,935,0,0X,0,935,0X,0X,0,935,无需购买,
M11,1000,56,944,0,0X,0,944,0X,0X,0,944,无需购买,
M12,1000,524,476,0,0X,0,476,0X,0X,0,476,无需购买,
M13,1000,325,675,0,0X,0,675,0X,0X,0,675,无需购买,
M14,1000,333,667,0,0X,0,667,0X,0X,0,667,无需购买,
M15,1000,508,492,0,0X,0,492,0X,0X,0,492,无需购买,
TOTAL,243000,124278,118722,22271,40X,40000,158722,26X,66X,66000,184722,合计,依据已购快照及summary_tot0913.txt(124278颗)；建议追加不属于缺货必买；未实际扣库或加入新套装
,,,
第二部分：仅列需购买或低库存色号；剩余为扣除需求后的余额，负数表示缺货；1X=1000颗,,,
色号,剩余,缺失数量_颗,买的倍数
A1,260,0,1X（建议）
A4,203,0,1X（建议）
A5,158,0,1X（建议）
B5,210,0,1X（建议）
B8,-120,120,1X
B9,-429,429,1X
B12,7,0,1X（建议）
B15,51,0,1X（建议）
B17,280,0,1X（建议）
B20,175,0,1X（建议）
C2,-589,589,1X
C3,-1524,1524,2X
C6,-1292,1292,2X
C7,-2620,2620,3X
C8,152,0,1X（建议）
C12,166,0,1X（建议）
C13,-13,13,1X
C16,-2491,2491,3X
C20,11,0,1X（建议）
C24,-1044,1044,2X
C27,166,0,1X（建议）
C28,62,0,1X（建议）
D1,-358,358,1X
D2,-289,289,1X
D4,-1038,1038,2X
D10,-40,40,1X
D17,285,0,1X（建议）
D24,212,0,1X（建议）
E2,-1944,1944,3X（必买2X＋建议1X）
E3,21,0,1X（建议）
E19,287,0,1X（建议）
F5,175,0,1X（建议）
F11,-363,363,1X
F14,277,0,1X（建议）
G6,-218,218,1X
G8,-374,374,1X
G9,163,0,1X（建议）
G10,-209,209,1X
G11,-6,6,1X
G12,201,0,1X（建议）
G13,13,0,1X（建议）
G19,-136,136,1X
G20,-176,176,1X
H1,258,0,1X（建议）
H2,-4158,4158,5X
H6,-296,296,1X
H7,-2482,2482,3X
H11,46,0,1X（建议）
H12,-62,62,1X
H18,266,0,1X（建议）
第二部分合计,-18166,22271,66X（必买40X＋建议26X）
,,,
第三部分：原库存＋221色各1k＋H2/H7各5k＋今日14袋；仅计已确认购买，不叠加第二部分建议,,,
色号,剩余,缺失数量_颗,买的倍数
C16,-1491,1491,2X
C24,-44,44,1X
E2,-944,944,2X（必买1X＋建议1X）
第三部分合计,-2479,2479,5X（必买4X＋建议1X）
,,,
第四部分：用量至少1k，完成第三部分全部补购后余量仍不足1k的可选备货；不重复计算第三部分建议,,,
色号,本次用量_颗,第三部分全部补购后剩余_颗,额外备货倍数
B8,1120,880,1X（可选备货）
B9,1429,571,1X（可选备货）
C2,1589,411,1X（可选备货）
C3,2524,476,1X（可选备货）
C6,2292,708,1X（可选备货）
C7,3620,380,1X（可选备货）
C13,1013,987,1X（可选备货）
C16,3491,509,1X（可选备货）
C24,2044,956,1X（可选备货）
D1,1358,642,1X（可选备货）
D2,1289,711,1X（可选备货）
D4,2038,962,1X（可选备货）
D10,1040,960,1X（可选备货）
G6,1218,782,1X（可选备货）
G8,1374,626,1X（可选备货）
G10,1209,791,1X（可选备货）
G11,1006,994,1X（可选备货）
G19,1136,864,1X（可选备货）
G20,1176,824,1X（可选备货）
H6,1296,704,1X（可选备货）
H12,1062,938,1X（可选备货）
