schemaVersion,transactionId,warehouseId,type,createdAt,note,projectId,patternId,imagePath,colorKey,hex,delta,before,after
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,E2,#FEC0DF,-24,541,517
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,M9,#A58767,-23,541,518
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,F14,#FFA9AD,-13,541,528
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,M12,#644749,-2,541,539
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,A4,#FBED56,-1,365,364
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,D8,#E2D3FF,-1,541,540
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,E8,#FFDBE9,-1,541,540
1,6e5004bc-72e1-47a4-bd57-c3458ace57aa,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image21,results/processing/3.done-images/Image21.PNG,F9,#E2677A,-1,541,540
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,E2,#FEC0DF,-122,517,395
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,D20,#9C32B2,-87,541,454
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,D12,#DE9AD4,-82,541,459
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,H2,#FEFFFF,-81,298,217
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,F9,#E2677A,-45,540,495
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,F14,#FFA9AD,-40,528,488
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,E8,#FFDBE9,-23,540,517
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,F11,#5A2121,-11,541,530
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,E4,#E8649E,-6,541,535
1,8fd2fa70-5aec-4a56-9dd3-96329ae30c63,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image33,results/processing/3.done-images/Image33.PNG,C7,#3677D2,-2,541,539
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,D18,#A45EC7,-186,541,355
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,D12,#DE9AD4,-110,459,349
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,C6,#50AAF0,-107,541,434
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,E9,#E970CC,-99,541,442
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,G14,#8D614C,-89,480,391
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,B17,#9BB13A,-71,541,470
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,C10,#3EBCE2,-63,541,478
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,M12,#644749,-63,539,476
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,H2,#FEFFFF,-42,217,175
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,B14,#ADE946,-41,541,500
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,C2,#A9F9FC,-17,541,524
1,d989081d-8e17-4186-8ac4-b18e07096052,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image37,results/processing/3.done-images/Image37.PNG,H3,#B6B1BA,-13,541,528
1,02fef47f-7735-46e4-97cc-6129b2e1c919,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image38,results/processing/3.done-images/Image38.PNG,H5,#48464E,-189,541,352
1,02fef47f-7735-46e4-97cc-6129b2e1c919,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image38,results/processing/3.done-images/Image38.PNG,H6,#2F2B2F,-108,541,433
1,02fef47f-7735-46e4-97cc-6129b2e1c919,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image38,results/processing/3.done-images/Image38.PNG,H7,#000000,-92,202,110
1,02fef47f-7735-46e4-97cc-6129b2e1c919,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image38,results/processing/3.done-images/Image38.PNG,D14,#8B279B,-51,541,490
1,02fef47f-7735-46e4-97cc-6129b2e1c919,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image38,results/processing/3.done-images/Image38.PNG,H3,#B6B1BA,-50,528,478
1,02fef47f-7735-46e4-97cc-6129b2e1c919,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image38,results/processing/3.done-images/Image38.PNG,D15,#2F1F90,-49,541,492
1,02fef47f-7735-46e4-97cc-6129b2e1c919,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image38,results/processing/3.done-images/Image38.PNG,H2,#FEFFFF,-14,175,161
1,02fef47f-7735-46e4-97cc-6129b2e1c919,warehouse-1,manual_adjustment,2026-09-11T20:52:35.381Z,完成拼图,,Image38,results/processing/3.done-images/Image38.PNG,A6,#FEAC4C,-4,486,482
